id,category,subcategory,question,answer,keywords,audience,source_url,as_of
ASP-238,Overview,Are The Core Pillars Of,What are the core pillars of the ASPIRE framework?,"ASPIRE is built on three pillars: Savings, Investments, and Financial Education. Each participant receives a seeded savings account, an investment stake in local government-owned companies, and age-appropriate financial education.",core|pillars|framework|overview,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-239,Overview,Long-Term Social Impact Is Aspire,What long-term social impact is ASPIRE expected to create?,ASPIRE aims to build a culture of financial wisdom create wealth equity promote youth entrepreneurship and strengthen national economic resilience for future generations.,long-term|social|impact|expected|overview,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-240,Eligibility,Is Eligible To Participate In,Who is eligible to participate in the ASPIRE programme?,All child citizens of Saint Kitts and Nevis aged 5 to 18 years old including nationals and citizens by descent are eligible.,eligible|participate|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-241,Eligibility,Is The Minimum Age Requirement,What is the minimum age requirement for ASPIRE enrolment?,The minimum age requirement for a child to be enrolled in ASPIRE is 5 years old.,minimum|age|requirement|enrolment|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-242,Eligibility,Is The Maximum Age Cap,What is the maximum age cap for ASPIRE participation?,The maximum age cap for children receiving initial seeding under the programme is 18 years old.,maximum|age|cap|participation|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-243,Eligibility,Citizens Living Abroad Or By,Are citizens living abroad or by descent eligible for ASPIRE?,"Citizens by descent are eligible alongside children born in the Federation. Participants must reside in Saint Kitts or Nevis; a participant who later relocates abroad can continue in the programme, but specific arrangements must be made with the administrators.",citizens|living|abroad|descent|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-244,Eligibility,The Aspire Program Restricted To,Is the ASPIRE program restricted to low-income families?,No ASPIRE is a universal national program open to all eligible children in Saint Kitts and Nevis regardless of family background or income level.,restricted|low-income|families|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-245,Eligibility,Non-Citizen Residents Enroll In Aspire,Can non-citizen residents enroll in ASPIRE?,Enrolment is specifically targeted at youth who hold citizenship or citizenship by descent of Saint Kitts and Nevis.,non-citizen|residents|enroll|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-246,Eligibility,Parents Need To Pay An,Do parents need to pay an upfront fee to register their child for ASPIRE?,No enrolment and the initial EC$1000 contribution are fully funded by the Government of St. Kitts and Nevis at no cost to parents.,pay|upfront|fee|register|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-247,Eligibility,Children Living In Nevis Eligible,Are children living in Nevis eligible for the ASPIRE programme?,Yes ASPIRE covers children across both islands in the Federation St. Kitts and Nevis.,living|eligible|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-248,Eligibility,Documentation Is Needed To Verify,What documentation is needed to verify eligibility during sign-up?,"Proof of the child's citizenship is required, either a Saint Kitts and Nevis birth certificate or a citizenship by descent certificate, along with the parent or guardian's identification. Confirm the current document list at aspire.gov.kn.",documentation|needed|verify|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-249,Eligibility,A Child Enrolled At Age,Can a child enrolled at age 5 stay in the program until adulthood?,Yes the funds and shares grow and accumulate interest and dividends as the child progresses through school until adulthood.,enrolled|age|stay|until|eligibility,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-250,Eligibility,Specific Birth Documents Qualify As,What specific birth documents qualify as proof of citizenship for a child born in St. Kitts and Nevis?,A Saint Kitts and Nevis birth certificate or a valid passport with a birthplace of Saint Kitts or Nevis qualifies.,specific|birth|documents|qualify|eligibility,parent,https://www.sknis.gov.kn/2025/07/08/the-cable-and-aspire-programme-partner-to-offer-daily-registration-support-for-families/,2026-07-30
ASP-251,Eligibility,Proof Of Address Documents Are,What proof of address documents are accepted for ASPIRE registration?,"Registration may also ask for proof of address dated within about three months, such as a recent utility bill, bank statement, or lease agreement. Confirm the current requirements at aspire.gov.kn.",proof|address|documents|accepted|eligibility,parent,https://www.sknis.gov.kn/2025/07/08/the-cable-and-aspire-programme-partner-to-offer-daily-registration-support-for-families/,2026-07-30
ASP-252,Overview,Total Monetary Grant Does Each,What total monetary grant does each eligible child receive under ASPIRE?,Each eligible child receives a total contribution of EC$1000 from the Government of St. Kitts and Nevis.,total|monetary|grant|eligible|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-253,Overview,Is The Ec$1000 Government Contribution,How is the EC$1000 government contribution split?,The EC$1000 contribution is split into EC$500 for a savings account and EC$500 invested in shares of local government-owned entities.,ec$1000|contribution|split|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-254,Overview,Portion Of The Aspire Grant,What portion of the ASPIRE grant goes into savings?,EC$500 is deposited into a savings account at St. Kitts-Nevis-Anguilla National Bank.,portion|grant|goes|savings|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-255,Overview,Portion Of The Aspire Grant,What portion of the ASPIRE grant goes into investment shares?,EC$500 is allocated to purchase shares in government-owned entities on behalf of the child.,portion|grant|goes|investment|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-256,Overview,Funds The Initial Aspire Grant,Who funds the initial ASPIRE grant?,The initial seed capital is fully provided and funded by the Government of Saint Kitts and Nevis through the ASPIRE Fund.,funds|initial|grant|overview,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-257,Overview,Parents Or Relatives Add Additional,Can parents or relatives add additional money to the child's ASPIRE savings account?,Yes parents guardians and relatives are encouraged to make additional personal deposits to grow the child's savings balance.,relatives|add|additional|money|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-258,Overview,The Ec$500 Savings Account Start,Does the EC$500 savings account start earning interest immediately?,Yes the seeded savings accounts are active and begin earning interest immediately upon account setup.,ec$500|savings|account|start|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-259,Overview,Is The Investment-Shares Component Broug,When is the investment-shares component brought on stream?,The investment-shares component is scheduled to be brought on stream in 2026.,investment-shares|component|brought|stream|overview,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-260,Overview,Currency Is Used For The,What currency is used for the ASPIRE grant allocations?,All grant amounts are calculated and distributed in Eastern Caribbean Dollars (EC$).,currency|used|grant|allocations|overview,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-261,Overview,There Tax Obligations On The,Are there tax obligations on the initial EC$1000 government grant for the child?,The initial government grant is a fully funded endowment provided to the eligible child. Saint Kitts and Nevis levies no personal income tax; confirm any specific details with the programme.,there|tax|obligations|initial|overview,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-262,Savings,Financial Institution Holds The Aspire,Which financial institution holds the ASPIRE savings accounts?,The savings accounts are opened at the St. Kitts-Nevis-Anguilla National Bank.,financial|institution|holds|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-263,Savings,Many Aspire Bank Accounts Were,How many ASPIRE bank accounts were opened by December 2025?,By December 11 2025 over 4207 ASPIRE bank accounts had already been opened.,many|accounts|opened|december|savings,parent,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2025-12-11
ASP-264,Savings,Role Does National Bank Play,What role does National Bank play in the ASPIRE program?,National Bank acts as the primary banking partner providing account setup interest yields and secure financial processing.,role|play|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-265,Savings,Children Withdraw Money From Their,Can children withdraw money from their ASPIRE savings account anytime?,"No. The money is held until the participant completes the ASPIRE Programme -- a minimum of 5 years, or until they turn 18, whichever is later. The accounts are set up that way on purpose, to encourage long-term saving. On completion the participant gets full access to their savings and investment returns.",withdraw|money|savings|account,parent,https://aspire.gov.kn/#faqs,2026-08-20
ASP-266,Savings,Does The Savings Account Help,How does the savings account help children learn practical money skills?,It provides hands-on banking experience allowing students to track interest earnings account balances and practice regular saving habits.,savings|account|help|learn,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-267,Savings,The Aspire Bank Accounts Opened,Are the ASPIRE bank accounts opened securely?,Yes the Task Force collaborates with the Department of ICT and National Bank to ensure quick and secure account opening.,accounts|opened|securely|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-268,Savings,Parents Track Their Child'S Aspire,Can parents track their child's ASPIRE bank account balance online?,Yes through standard banking channels and registration updates provided via the ASPIRE framework.,track|account|balance|online|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-269,Savings,Happens To The Savings Account,What happens to the savings account interest over time?,Interest compounds over time increasing the total wealth available to the young citizen upon reaching adulthood.,happens|savings|account|interest,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-270,Savings,A Bank Account Automatically Opened,Is a bank account automatically opened upon registering for ASPIRE?,Yes completing registration at aspire.gov.kn or at registration drives initiates the bank account opening process.,account|automatically|opened|registering|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-271,Savings,Did The Government Partner With,Why did the government partner with local banks for ASPIRE?,To integrate young citizens directly into the formal financial system and promote early financial inclusion across St. Kitts and Nevis.,partner|local|banks|savings,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-272,Investments,Types Of Entities Will The,What types of entities will the EC$500 investment component purchase shares in?,The funds will be invested in shares of local government-owned entities and public enterprises.,types|entities|ec$500|investment|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-273,Investments,Is The Main Purpose Of,What is the main purpose of giving young people an investment stake in public entities?,To introduce youth to equity ownership dividend building and long-term asset accumulation from an early age.,main|purpose|giving|investment|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-274,Investments,Will The Share Investment Rollout,When will the share investment rollout take place?,The official rollout of the investment-shares component is planned for 2026.,share|investment|rollout|place|investments,student,https://aspire.gov.kn/#faqs,2025-12-11
ASP-275,Investments,Does Stock Ownership Benefit Children,How does stock ownership benefit children as they grow up?,It gives them real skin in the national economy teaching them how corporate growth dividends and capital appreciation generate wealth.,stock|ownership|benefit|grow|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-276,Investments,Manages The Investment Portfolio For,Who manages the investment portfolio for ASPIRE beneficiaries?,The ASPIRE Council and financial managers oversee the investment strategy and fund stewardship.,manages|investment|portfolio|beneficiaries|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-277,Investments,Beneficiaries Receive Progress Updates A,Will beneficiaries receive progress updates about their share investments?,Yes official updates on investment rollout and performance will be communicated via aspire.gov.kn and ASPIRE media channels.,beneficiaries|progress|updates|share|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-278,Investments,Beneficiaries Choose Individual Stocks T,Can beneficiaries choose individual stocks themselves at age 5?,No the EC$500 investment pool is managed centrally into designated public entity shares to protect and grow value for all participants.,beneficiaries|choose|individual|stocks|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-279,Investments,Does The Investment Component Align,How does the investment component align with national development goals?,It fosters economic democracy by distributing ownership of public assets among all children in Saint Kitts and Nevis.,investment|component|align|development|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-280,Investments,Financial Concept Does The Share,What financial concept does the share allocation teach students?,It teaches basic investing principles share capital equity ownership dividend returns and portfolio growth.,financial|concept|share|allocation|investments,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-281,Investments,The Investment Component Active Prior,Is the investment component active prior to 2026?,While savings accounts were active earlier the investment share component is scheduled for full activation in 2026.,investment|component|active|prior|investments,student,https://aspire.gov.kn/#faqs,2025-12-11
ASP-282,Governance,Piece Of Legislation Officially Establis,What piece of legislation officially established the ASPIRE programme?,The ASPIRE Bill 2024 officially established the programme after passage in Parliament.,piece|legislation|officially|established|governance,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-11-28
ASP-283,Governance,Administrative Body Is Created By,What administrative body is created by the ASPIRE legislation to manage the program?,The legislation creates the ASPIRE Council and the ASPIRE Fund to govern and manage the program.,administrative|body|created|legislation|governance,general,https://aspire.gov.kn/#faqs,2024-11-28
ASP-285,Governance,Ministry Introduced The Aspire Legislati,Which Ministry introduced the ASPIRE legislation in Parliament?,The Ministry of Finance headed by Prime Minister Hon. Dr. Terrance Drew introduced the legislation.,ministry|introduced|legislation|parliament|governance,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-11-28
ASP-286,Governance,Role Does The Aspire Council,What role does the ASPIRE Council play?,The ASPIRE Council oversees fund governance asset management educational integration and program evaluation.,role|council|play|governance,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-287,Partners,Government Departments Collaborate With,Which government departments collaborate with the ASPIRE Task Force?,"Key partners include the Ministry of Education, the Department of Information Technology, and the St. Kitts-Nevis-Anguilla National Bank, among other government agencies working with the ASPIRE Task Force.",departments|collaborate|task|force|partners,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-288,Governance,Does The Legislation Guarantee Equal,How does the legislation guarantee equal funding for all children?,The ASPIRE Act mandates equal seed capital of EC$1000 for every registered eligible child without discrimination.,legislation|guarantee|equal|funding|governance,general,https://aspire.gov.kn/#faqs,2024-11-28
ASP-289,Governance,Is The Purpose Of The,What is the purpose of the ASPIRE Fund?,The ASPIRE Fund holds government allocations manage investment assets and disburse project benefits securely.,purpose|fund|governance,general,https://aspire.gov.kn/#faqs,2024-11-28
ASP-290,Governance,Does Government Oversight Protect Childr,How does government oversight protect children's ASPIRE funds?,Strict legislative safeguards statutory reporting and Council oversight prevent unauthorized access or misapplication of assets.,oversight|protect|funds|governance,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-291,Governance,National Policy Framework Supports Aspir,What national policy framework supports ASPIRE?,ASPIRE aligns with the Sustainable Island State Agenda promoting economic empowerment financial inclusion and human capital development.,policy|framework|supports|governance,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-292,Application,Can Parents Register Their Children,Where can parents register their children for ASPIRE online?,Parents can register online at the official portal aspire.gov.kn.,register|online|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-293,Application,In-Person Registration Options Available,Are in-person registration options available for ASPIRE?,Yes in-person assistance is provided through school visits community activations and ASPIRE Day events across St. Kitts and Nevis.,in-person|registration|options|available|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-294,Application,Portal Developed By The Department,What portal developed by the Department of Information Technology supports ASPIRE?,The Department of IT created and maintains the online registration platform at aspire.gov.kn.,portal|developed|department|information|application,parent,https://www.technology.gov.kn/aspire/,2026-07-30
ASP-295,Application,Is Responsible For Filling Out,Who is responsible for filling out the ASPIRE registration form for minor children?,A parent or legal guardian completes the enrolment form on behalf of the minor child.,responsible|filling|out|registration|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-296,Application,Assistance Is Provided On Social,What assistance is provided on social media for registration?,ASPIRE social platforms feature step-by-step registration guides and video tutorials to help parents complete enrolment.,assistance|provided|social|media|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-297,Application,Registration Be Completed Directly At,Can registration be completed directly at participating schools?,Yes the ASPIRE team visits primary and secondary schools across St. Kitts and Nevis to assist parents and students on site.,registration|completed|directly|participating|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-299,Application,Physical Walk-In Center Offers Daily,What physical Walk-in center offers daily registration support in Basseterre?,The Cable Office on Cayon Street in Basseterre offers daily walk-in support for ASPIRE enrolment.,physical|walk-in|center|offers|application,parent,https://www.sknis.gov.kn/2025/07/08/the-cable-and-aspire-programme-partner-to-offer-daily-registration-support-for-families/,2025-07-08
ASP-300,Application,Are The Operating Hours For,What are the operating hours for ASPIRE support at The Cable Office?,Walk-in support at The Cable Office is available Monday to Friday from 9:00 AM to 3:00 PM.,operating|hours|support|cable|application,parent,https://www.sknis.gov.kn/2025/07/08/the-cable-and-aspire-programme-partner-to-offer-daily-registration-support-for-families/,2025-07-08
ASP-301,Application,Parents Edit Existing Aspire Application,Can parents edit existing ASPIRE applications at support centers?,Yes parents can edit existing applications check status and ask eligibility questions at support centers.,edit|existing|applications|support|application,parent,https://www.sknis.gov.kn/2025/07/08/the-cable-and-aspire-programme-partner-to-offer-daily-registration-support-for-families/,2025-07-08
ASP-302,Application,Parents Register Multiple Eligible Child,Can parents register multiple eligible children under one household?,Yes parents can register each eligible child individually to ensure every child receives their EC$1000 grant.,register|multiple|eligible|one|application,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-303,Application,Support Is Available If Parents,What support is available if parents encounter technical difficulty online?,Parents can contact the ASPIRE helpline email aspire@gov.kn or call hotline 465-2588 for support.,support|available|encounter|technical|application,parent,https://aspire.gov.kn/#faqs,2025-07-08
ASP-304,Financial Education,Does Prime Minister Drew Consider,Why does Prime Minister Drew consider financial education the most important component of ASPIRE?,Because it indoctrinates a lifelong culture of financial wisdom decision-making confidence and money management skills that last permanently.,prime|minister|drew|consider|financial education,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
ASP-305,Financial Education,Is Financial Literacy Integrated Into,How is financial literacy integrated into schools under ASPIRE?,Financial education is delivered through structured age-appropriate curriculum modules integrated into school instruction.,financial|literacy|integrated|schools|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-306,Financial Education,Key Financial Subjects Are Covered,What key financial subjects are covered in the ASPIRE educational materials?,Topics include budgeting methods saving strategies wise investment techniques avoiding financial errors and debt management.,key|financial|subjects|covered|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-307,Financial Education,Role Do Teachers Play In,What role do teachers play in the ASPIRE program?,Teachers utilize classroom materials and bite-sized financial lessons provided by ASPIRE to support national learning objectives.,role|teachers|play|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-308,Financial Education,Educational Resources Available For Pare,Are educational resources available for parents to use at home?,Yes ASPIRE offers bite-sized digital lessons social media videos and guides for parents to reinforce money lessons at home.,educational|resources|available|home|financial education,parent,https://aspire.gov.kn/#faqs,2026-07-30
ASP-309,Financial Education,Age Groups Are Targeted By,What age groups are targeted by the ASPIRE financial literacy curriculum?,The curriculum is tailored for children and youth aged 5 through 18 across primary and secondary school levels.,age|groups|targeted|financial|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-310,Financial Education,Does Aspire Aim To Prevent,How does ASPIRE aim to prevent common youth financial mistakes?,By teaching early concepts of compound interest credit evaluation avoiding impulse spending and distinguishing needs from wants.,aim|prevent|common|financial|financial education,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-311,Financial Education,Delivers Guest Presentations During Scho,Who delivers guest presentations during school financial literacy events?,Financial experts business leaders experienced educators and community advocates conduct presentations and workshops.,delivers|guest|presentations|school|financial education,teacher,https://skncgtoronto.gov.kn/2025/05/08/aspire-financial-literacy-day-2025-set-to-empower-youth-across-saint-kitts-and-nevis/,2026-07-30
ASP-312,Financial Education,Expanded Educational Modules Are Schedul,What expanded educational modules are scheduled for rollout in 2026?,"ASPIRE continues to expand its financial-education offerings over time, building on core topics such as budgeting, saving, investing and entrepreneurship. Check aspire.gov.kn for the latest curriculum updates.",expanded|educational|modules|scheduled|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-313,Financial Education,Does Aspire Promote Youth Entrepreneursh,How does ASPIRE promote youth entrepreneurship?,By providing foundational business literacy seed funds awareness and practical investment exposure early in life.,promote|entrepreneurship|financial education,student,https://aspire.gov.kn/#faqs,2026-07-30
ASP-314,Events,Was The First Official Aspire,When was the first official ASPIRE Day held in St. Kitts?,The first ASPIRE Day in St. Kitts took place on Friday November 29 2024 at Independence Square in Basseterre.,first|official|day|held|events,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-11-29
ASP-315,Events,Was Aspire Day Held In,When was ASPIRE Day held in Nevis?,ASPIRE Day in Nevis was celebrated on Friday December 06 2024.,day|held|events,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-12-06
ASP-316,Events,Activities Occurred During Aspire Day,What activities occurred during ASPIRE Day at Independence Square?,Officials provided program information answered community questions and helped parents register children on the spot.,activities|occurred|day|independence|events,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2024-11-29
ASP-318,Events,On What Date Was Aspire,On what date was ASPIRE Financial Literacy Day 2025 observed?,ASPIRE Financial Literacy Day 2025 was observed on Wednesday May 14 2025.,date|financial|literacy|day|events,general,https://skncgtoronto.gov.kn/2025/05/08/aspire-financial-literacy-day-2025-set-to-empower-youth-across-saint-kitts-and-nevis/,2025-05-08
ASP-319,Events,Morning Activities Were Conducted In,What morning activities were conducted in schools during Financial Literacy Day 2025?,Schools conducted special morning assemblies between 8:30 and 9:30 AM featuring financial expert presentations and interactive sessions.,morning|activities|conducted|schools|events,general,https://skncgtoronto.gov.kn/2025/05/08/aspire-financial-literacy-day-2025-set-to-empower-youth-across-saint-kitts-and-nevis/,2025-05-08
ASP-320,Milestones,Milestone In Account Openings Was,What milestone in account openings was achieved by late 2025?,Over 4207 ASPIRE bank accounts had been successfully opened for young beneficiaries across the Federation by December 2025.,milestone|account|openings|achieved|milestones,general,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2025-12-11
ASP-321,Events,Were The Official Aspire Social,When were the official ASPIRE social media channels launched?,The official social media platforms were launched on December 11 2025.,official|social|media|channels|events,general,https://www.sknis.gov.kn/2025/12/11/aspire-launches-official-social-media-platforms-join-the-movement-to-empower-our-youth/,2025-12-11
ASP-322,Events,Community Engagement Events Are Conducte,What community engagement events are conducted regularly by the ASPIRE Task Force?,The Task Force conducts school visits community activations pop-up registration booths and financial literacy workshops.,community|engagement|events|conducted,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-323,Events,Does Aspire Financial Literacy Day,How does ASPIRE Financial Literacy Day engage the wider public?,By extending financial conversations beyond classrooms into homes communities businesses and national media channels.,financial|literacy|day|engage|events,general,https://skncgtoronto.gov.kn/2025/05/08/aspire-financial-literacy-day-2025-set-to-empower-youth-across-saint-kitts-and-nevis/,2026-07-30
ASP-324,Social Media,Is The Official Aspire Facebook,What is the official ASPIRE Facebook handle?,The official Facebook page is facebook.com/aspire.skn.,official|facebook|handle|social media,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-325,Social Media,Is The Official Aspire Instagram,What is the official ASPIRE Instagram handle?,The official Instagram handle is instagram.com/aspire.skn (@aspire.skn).,official|instagram|handle|social media,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-326,Social Media,Is The Official Aspire Tiktok,What is the official ASPIRE TikTok handle?,The official TikTok handle is tiktok.com/@aspire.skn (@aspire.skn).,official|tiktok|handle|social media,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-327,Contact,Is The Official Email Address,What is the official email address for ASPIRE inquiries?,The official email address is aspire@gov.kn.,official|email|address|inquiries|contact,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-328,Contact,Official Telephone Contact Numbers Are,What official telephone contact numbers are available for ASPIRE support?,Official contact numbers are +1 (869) 667-5566 +1 (869) 762-1947 and Hotline 465-2588.,official|telephone|contact|numbers,general,https://aspire.gov.kn/#faqs,2025-07-08
ASP-329,Social Media,Content Is Posted On Aspire,What content is posted on ASPIRE social media channels?,Channels feature registration support tutorial videos financial lessons event announcements and participant success stories.,content|posted|social|media|social media,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-330,Social Media,Did Aspire Launch Official Social,Why did ASPIRE launch official social media platforms?,To meet parents guardians and students online demystify savings and investing and make enrolment guidance widely accessible.,launch|official|social|media|social media,general,https://aspire.gov.kn/#faqs,2025-12-11
ASP-331,Social Media,Can Parents Find Step-By-Step Video,Where can parents find step-by-step video tutorials for ASPIRE enrolment?,Tutorial video series are available on ASPIRE official social media platforms (Facebook Instagram TikTok) and aspire.gov.kn.,find|step-by-step|video|tutorials|social media,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-332,Social Media,Department'S Website Shares Tech News,Which department's website shares tech news about ASPIRE registration drives?,The Department of Information Technology website at technology.gov.kn.,department|website|shares|tech|social media,general,https://www.technology.gov.kn/aspire/,2026-07-30
ASP-333,Social Media,Can Citizens Stay Updated On,How can citizens stay updated on the 2026 investment rollout?,By following ASPIRE social media handles and visiting the official portal at aspire.gov.kn.,citizens|stay|updated|investment|social media,general,https://aspire.gov.kn/#faqs,2026-07-30
ASP-334,Social Media,Role Does Sknis Play In,What role does SKNIS play in promoting ASPIRE?,St. Kitts & Nevis Information Service (SKNIS) distributes official press releases announcements and video features on ASPIRE.,role|sknis|play|promoting|social media,general,https://www.sknis.gov.kn/2024/11/28/governments-innovative-aspire-programme-will-help-to-level-the-financial-playing-field-for-all-children-across-st-kitts-and-nevis/,2026-07-30
ASP-335,Contact,Can Members Of The Diaspora,Where can members of the diaspora get information about ASPIRE?,Through the Ministry of Foreign Affairs SKN Consulate portals (e.g. skncgtoronto.gov.kn) and aspire.gov.kn.,members|diaspora|information|contact,general,https://skncgtoronto.gov.kn/2025/05/08/aspire-financial-literacy-day-2025-set-to-empower-youth-across-saint-kitts-and-nevis/,2026-07-30
ASP-336,Financial Education,Can Teachers Access Aspire Classroom,How can teachers access ASPIRE classroom materials online?,Teachers can download bite-sized lessons and financial literacy resources via aspire.gov.kn and official media updates.,teachers|access|classroom|materials|financial education,teacher,https://aspire.gov.kn/#faqs,2026-07-30
ASP-337,Social Media,Hashtag Is Used To Track,What hashtag is used to track ASPIRE news and stories?,"ASPIRE shares news and stories through its official channels. Follow @aspire.skn on Facebook, Instagram and TikTok and check its posts for the current campaign hashtags.",hashtag|used|track|news|social media,general,https://www.technology.gov.kn/aspire/,2026-07-30
ASP-338,Contact,Can Parents Submit Questions Directly,Where can parents submit questions directly to the ASPIRE Task Force?,Questions can be emailed to aspire@gov.kn or sent via direct message to @aspire.skn on Facebook or Instagram.,submit|questions|directly|task|contact,general,https://aspire.gov.kn/#faqs,2026-07-30
FIN-001,Money Basics,What is money,What is money?,Money is something everyone agrees to accept in exchange for goods and services. In Saint Kitts and Nevis we use the Eastern Caribbean dollar. Money makes trading easy because you do not have to swap one item directly for another.,what is money|money meaning|definition|exchange,child,internal:aspire-financial-education,2026-08-04
FIN-002,Money Basics,Why money exists,Why do we use money instead of trading things?,"Before money, people used barter, swapping one item for another. Barter only works if each person wants exactly what the other has. Money solves that problem because everybody accepts it, so you can sell what you have and buy what you need.",barter|trade|why money|swap|history,child,internal:aspire-financial-education,2026-08-04
FIN-003,Money Basics,Functions of money,What are the three main jobs of money?,"Money does three jobs. It is a medium of exchange, meaning you can use it to buy things. It is a unit of account, meaning it lets us compare prices. And it is a store of value, meaning you can hold it now and spend it later.",functions of money|medium of exchange|store of value|unit of account,student,internal:aspire-financial-education,2026-08-04
FIN-004,Money Basics,Our currency,What money do we use in Saint Kitts and Nevis?,"We use the Eastern Caribbean dollar, written as EC$ and shortened to XCD. It is issued by the Eastern Caribbean Central Bank, which has its head office right here in Basseterre.",ec dollar|xcd|currency|eastern caribbean dollar,child,https://www.eccb-centralbank.org/,2026-08-04
